name,company,city,address,latitude,longitude
Saham Assurances,Saham,Rabat,"Avenue Hassan II complexe bab sala - imm chmaou magasin m2, Salé 11000, Morocco",34.0348622,-6.8016199
Sanlam Assurance,Sanlam,Rabat,"Résidence Les Camélias Local numéro 6, M5, Rabat 10110, Morocco",33.9620283,-6.8648494
Sanlam - Agence Rabat Tour Hassan,Sanlam,Rabat,"Immeuble omniprise, angle avenue al alaouite et rue al mariniyine, Rabat 10000, Morocco",34.021481,-6.8245055
Check Auto Expresse Sanlam,Sanlam,Rabat,"25FF+4W9, Av. Al Alaouiyine, Rabat, Morocco",34.0227879,-6.8251521
Sanlam - Assurances Assai,Sanlam,Rabat,"281 Ave Mohammed V, Rabat 10000, Morocco",34.0117938,-6.8300612
Assurances chahid -sanlam,Sanlam,Rabat,"Imm 6 magasin 12 jardins des oudayas، Temara 12000, Morocco",33.9368622,-6.8978508
Sanlam - Meryassur Assurance,Sanlam,Rabat,"Dyar Al Mansour Magasin C 439 Avenue Sidi Mohamed Ben Abdellah Cym, Rabat 10000, Morocco",34.0179907,-6.8361727
Saham Structure,Saham,Rabat,"ilot 2 Imm Aoulouz Apt N1 Résidence Assabah CYM, Rabat 10000, Morocco",33.9942003,-6.8796578
CAT Assurance et Réassurance,CAT,Casablanca,"6 Lotissement la colline, Casablanca, Morocco",33.537155,-7.641933100000002
Sanlam - Assurances Sale Nour,Sanlam,Rabat,"Avenue Sanaoubar Immb 4 G1 - Hay Al Walae - Karia Ouled Moussa Sale, Oulad Moussa, Morocco",34.0267251,-6.7639632
Sanlam - D H A Salé,Sanlam,Rabat,"Avenue Mohamed V N°74 Hay Dar El Hamra, Salé 11000, Morocco",34.0584176,-6.7865775
Sanlam - Assurances El Mamoun,Sanlam,Rabat,"6 Av. 2 Mars, Salé 11000, Morocco",34.0360157,-6.8198517
CAT Assurance et Réassurance bureau direct hay mohamadi,CAT,Casablanca,"HCMQ+82C, Casablanca 20250, Morocco",33.58330869999999,-7.5624883
